"","BNTI","RC","Seasonal"
"98037",33.1350720885769,1,"Summer"
"98038",33.7678291259501,1,"Summer"
"98039",30.0700517568391,1,"Summer"
"98043",2.16235898595898,0.92,"Summer"
"98044",2.30700355553001,0.94,"Summer"
"98045",-0.617179509323007,-0.56,"Summer"
"98046",-0.679297471857756,-0.64,"Summer"
"98047",-0.520240457085914,-0.24,"Summer"
"98074",-0.0656550365981192,0.18,"Summer"
"98075",0.090865967778885,0.34,"Summer"
"98076",0.612966211245794,0.64,"Summer"
"98077",-1.27608629831294,-0.94,"Summer"
"98078",-1.39719939664173,-1,"Summer"
"98079",-0.844935578966061,-0.84,"Summer"
"98104",6.35541428799224,1,"Summer"
"98105",5.0953086620097,1,"Summer"
"98106",4.19659393524146,0.98,"Summer"
"98107",4.42955503080441,1,"Summer"
"98108",4.28581235137025,0.98,"Summer"
"98109",1.40870347718292,0.76,"Summer"
"98110",-0.92477328388012,-0.72,"Summer"
"98111",5.03144136175013,1,"Summer"
"98112",5.1033222001404,1,"Summer"
"98137",2.22303546011607,0.92,"Summer"
"98138",0.00163408857657801,0.18,"Summer"
"98139",-0.0201294400753052,0.12,"Summer"
"98140",4.27396743944086,0.98,"Summer"
"98141",3.5370235909652,0.98,"Summer"
"98142",3.97231707364151,0.98,"Summer"
"98143",3.12518867917581,0.98,"Summer"
"98144",4.44657175367393,0.98,"Summer"
"98145",1.99049208977153,0.86,"Summer"
"98170",9.17197467530094,1,"Summer"
"98171",8.94776647671316,1,"Summer"
"98172",8.35080348922647,1,"Summer"
"98176",-1.10485410744228,-0.88,"Summer"
"98177",-0.689723857437772,-0.64,"Summer"
"98178",-0.302585967562952,0.14,"Summer"
"98179",-0.717928589500316,-0.78,"Summer"
"98206",1.49062227282005,0.86,"Summer"
"98207",-0.538615926369732,-0.32,"Summer"
"98208",0.525580677662534,0.52,"Summer"
"98209",-1.01298075014939,-0.84,"Summer"
"98210",-1.27308252984914,-1,"Summer"
"98211",-0.99938277176454,-1,"Summer"
"98236",3.98308792181348,0.96,"Summer"
"98237",0.848543211403189,0.64,"Summer"
"98238",0.655097578689363,0.76,"Summer"
"98239",0.250897625483502,0.44,"Summer"
"98240",9.54108721853445,1,"Summer"
"98241",0.529746789543579,0.56,"Summer"
"98242",-0.388505717050909,-0.14,"Summer"
"98243",9.76296551197372,1,"Summer"
"98244",7.29207636151802,1,"Summer"
"98269",1.58019229819852,0.94,"Summer"
"98270",0.0673374791440242,0.12,"Summer"
"98271",-0.00998382335282181,0.14,"Summer"
"98272",16.9562280144038,1,"Summer"
"98273",7.28561412937355,1,"Summer"
"98274",15.6068529752962,1,"Summer"
"98275",2.57449302403429,0.94,"Summer"
"98276",7.94953050251771,1,"Summer"
"98277",1.75951322104256,0.84,"Summer"
"98302",24.0817737199087,1,"Summer"
"98303",24.1977942563553,1,"Summer"
"98304",22.2370112922828,1,"Summer"
"98308",-0.345441460089815,0.0600000000000001,"Summer"
"98309",0.297793847187448,0.64,"Summer"
"98310",-0.501109256752801,-0.22,"Summer"
"98337",2.21754443825737,0.98,"Summer"
"98338",0.221439568433602,0.48,"Summer"
"98339",1.00561485000743,0.8,"Summer"
"98340",-0.894309962514467,-0.8,"Summer"
"98341",-1.1651475467839,-1,"Summer"
"98342",-0.583672746801915,-0.26,"Summer"
"98367",7.85134049865415,1,"Summer"
"98368",1.21307778989794,0.7,"Summer"
"98369",1.06443448616538,0.86,"Summer"
"98370",1.35371314562432,0.8,"Summer"
"98371",13.3405574338548,1,"Summer"
"98372",1.3335860094771,0.92,"Summer"
"98373",-0.228027271921041,-0.02,"Summer"
"98374",12.3631148491225,1,"Summer"
"98375",10.1109670580312,1,"Summer"
"98400",1.85805135455895,0.92,"Summer"
"98401",0.156218149145941,0.36,"Summer"
"98402",-0.00803316367890091,0.12,"Summer"
"98403",25.8290817928226,1,"Summer"
"98404",12.47485403411,1,"Summer"
"98405",29.3258897696831,1,"Summer"
"98406",5.82428346401922,1,"Summer"
"98407",14.4854087714132,1,"Summer"
"98408",4.1729116365159,0.96,"Summer"
"98433",44.3466980185812,1,"Summer"
"98434",40.1811370458055,1,"Summer"
"98435",39.7608037660417,1,"Summer"
"98439",1.49475880793994,0.86,"Summer"
"98440",-0.397604581749674,-0.34,"Summer"
"98467",-0.263730956958117,-0.14,"Summer"
"98468",0.17247472374037,0.46,"Summer"
"98469",-0.370237293214632,-0.0600000000000001,"Summer"
"98470",-0.596048199361062,-0.5,"Summer"
"98471",-0.920277761964714,-0.88,"Summer"
"98472",0.955688466639507,0.68,"Summer"
"98497",1.49967979206548,0.9,"Summer"
"98498",1.22326326697053,0.78,"Summer"
"98499",2.0921590647156,0.92,"Summer"
"98500",2.38256167787385,0.9,"Summer"
"98501",14.3793032200547,1,"Summer"
"98502",2.50312661549848,0.9,"Summer"
"98503",0.474584077223718,0.54,"Summer"
"98504",11.922497410154,1,"Summer"
"98505",10.3316073073113,1,"Summer"
"98530",2.85015808614692,1,"Summer"
"98531",-1.92072667147353,-0.94,"Summer"
"98532",-0.0115464250219081,0.12,"Summer"
"98533",21.2929408608501,1,"Summer"
"98534",8.98858520758412,1,"Summer"
"98535",16.8067479025579,1,"Summer"
"98536",5.7991225062806,1,"Summer"
"98537",9.68449453865647,1,"Summer"
"98538",2.93381261206382,0.98,"Summer"
"98563",27.9447705019389,1,"Summer"
"98564",27.2642918325215,1,"Summer"
"98565",22.6232666758016,1,"Summer"
"98569",0.332802853283786,0.74,"Summer"
"98596",1.10047178559825,0.8,"Summer"
"98597",1.3164882941311,0.92,"Summer"
"98598",2.28222591547893,0.92,"Summer"
"98599",-0.502495289219582,-0.42,"Summer"
"98600",-1.08953053907692,-1,"Summer"
"98601",1.04652436234415,0.74,"Summer"
"98626",4.13575718524559,0.98,"Summer"
"98627",-0.0924858270352093,0.1,"Summer"
"98628",1.78737902265738,0.84,"Summer"
"98629",0.583242275522904,0.52,"Summer"
"98630",2.3098722413498,0.96,"Summer"
"98631",3.50221229736241,0.98,"Summer"
"98632",-0.666405752664217,-0.52,"Summer"
"98633",6.56656731100808,1,"Summer"
"98634",8.6357298843563,1,"Summer"
"98659",3.17020445092889,1,"Summer"
"98660",0.31151081551081,0.34,"Summer"
"98661",1.90230322593457,0.94,"Summer"
"98662",9.90309864674602,1,"Summer"
"98663",7.89161303089035,1,"Summer"
"98664",10.4874924851048,1,"Summer"
"98665",3.75332003231737,0.98,"Summer"
"98666",8.64512153257649,1,"Summer"
"98667",3.52897226504075,0.98,"Summer"
"98692",2.36513401361854,0.88,"Summer"
"98693",2.41207385800562,0.92,"Summer"
"98694",2.66615655039768,0.94,"Summer"
"98724",0.0820157986416337,0.32,"Summer"
"98725",0.556100233937563,0.58,"Summer"
"98726",-0.395019123785837,-0.0800000000000001,"Summer"
"98727",-0.0123641458582439,0.12,"Summer"
"98728",-0.376103912006241,-0.16,"Summer"
"98729",0.32543494518076,0.46,"Summer"
"98754",2.94988057151093,0.96,"Summer"
"98755",0.0928977794151856,0.3,"Summer"
"98756",3.20458931211236,1,"Summer"
"98757",3.13788737216651,0.96,"Summer"
"98758",1.59252941356842,0.86,"Summer"
"98759",1.91635762440172,0.88,"Summer"
"98760",1.71949086398319,0.92,"Summer"
